Mo_T,S_T,Highest_growth_T,Growth_Time,Growth_P,Class
300,180,800,55,760,yes
300,180,800,55,760,yes
700,250,700,200,760,yes
830,180,830,15,760,yes
800,120,800,15,40,yes
540,130,750,25,0.67,yes
540,130,750,50,0.67,yes
700,150,700,8,760,yes
400,200,800,30,760,yes
700,150,700,30,760,yes
650,180,650,3,760,yes
650,180,650,3,760,yes
650,180,650,3,760,yes
650,145,650,10,0.75,no
650,145,650,10,1,no
700,120,700,60,0.02,no
650,120,650,60,0.02,yes
850,120,850,60,0.02,no
850,120,750,60,0.02,no
700,120,600,60,0.02,no
700,150,700,3,760,no
720,200,720,20,760,yes
650,250,850,240,760,no
750,180,750,30,760,yes
550,100,550,30,0.1,no
800,150,800,3,150,yes
800,150,800,10,150,yes
800,170,800,10,150,yes
650,650,650,15,760,no
730,145,730,47,760,yes
730,145,730,52,760,yes
730,145,730,57,760,yes
730,145,730,62,760,yes
850,145,850,200,37.5,no
850,145,850,200,75,no
850,145,850,200,7.5,no
700,180,700,60,760,no
725,180,725,60,760,yes
750,180,750,60,760,yes
775,180,775,60,760,no
800,180,800,60,760,no
850,180,850,60,760,no
530,100,700,20,0.225,yes
500,100,700,45,0.225,no
600,100,700,45,0.225,no
530,100,700,120,0.225,no
530,100,700,35,0.225,yes
530,102,530,30,0.225,yes
530,102,610,30,0.225,yes
530,102,680,30,0.225,yes
530,102,750,30,0.225,yes
530,100,880,60,0.225,yes
530,102,680,60,0.124,yes
800,250,800,30,10,no
800,250,800,60,10,no
530,100,850,60,0.225,yes
530,100,830,60,0.225,yes
530,100,850,10,0.225,yes
530,100,830,10,0.225,yes
530,115,850,30,0.5,no
530,102,530,60,0.225,yes
530,102,610,60,0.225,yes
530,102,680,60,0.225,yes
530,102,750,60,0.225,yes
650,145,650,10,1,no
